Date,Série,Exercice,Performance,Variante,Élastique,Tension,Forme,Temps Pondéré,Catégorie,Unité
07/09/2025,Serie 1,Planche / pike lean,25,Diamond,Jaune,Normal,High,75.03,Force isométrique,Secondes
07/09/2025,Serie 2,Planche / pike lean,26,Diamond,Jaune,Normal,High,78.03,Force isométrique,Secondes
07/09/2025,Serie 3,Planche / pike lean,23,Diamond,Jaune,Normal,High,69.02,Force isométrique,Secondes
07/09/2025,Serie 4,Planche / pike lean,23,Diamond,Jaune,Normal,High,69.02,Force isométrique,Secondes
07/09/2025,Serie 5,Planche / pike lean,24,Diamond,Jaune,Normal,High,72.03,Force isométrique,Secondes
08/09/2025,Serie 1,Planche / pike lean,16,Half_Lay,Jaune,Normal,High,97.21,Force isométrique,Secondes
08/09/2025,Serie 2,Planche / pike lean,16,Half_Lay,Jaune,Normal,High,97.21,Force isométrique,Secondes
08/09/2025,Serie 3,Planche / pike lean,16,Half_Lay,Jaune,Normal,High,97.21,Force isométrique,Secondes
08/09/2025,Serie 4,Planche / pike lean,18,Half_Lay,Jaune,Normal,High,109.36,Force isométrique,Secondes
08/09/2025,Serie 5,Planche / pike lean,14,Half_Lay,Jaune,Normal,High,85.06,Force isométrique,Secondes
09/09/2025,Serie 1,Planche / pike lean,15,Half_Lay,Jaune,Normal,High,91.14,Force isométrique,Secondes
09/09/2025,Serie 2,Planche / pike lean,14,Half_Lay,Jaune,Normal,High,85.06,Force isométrique,Secondes
09/09/2025,Serie 3,Planche / pike lean,18,Half_Lay,Jaune,Normal,High,109.36,Force isométrique,Secondes
09/09/2025,Serie 4,Planche / pike lean,15,Half_Lay,Jaune,Normal,High,91.14,Force isométrique,Secondes
09/09/2025,Serie 5,Planche / pike lean,19,Half_Lay,Jaune,Normal,High,115.44,Force isométrique,Secondes
10/09/2025,Serie 1,Planche / pike lean,17,Half_Lay,Jaune,Normal,High,103.29,Force isométrique,Secondes
10/09/2025,Serie 2,Planche / pike lean,17,Half_Lay,Jaune,Normal,High,103.29,Force isométrique,Secondes
10/09/2025,Serie 3,Planche / pike lean,16,Half_Lay,Jaune,Normal,High,97.21,Force isométrique,Secondes
10/09/2025,Serie 4,Planche / pike lean,17,Half_Lay,Jaune,Normal,High,103.29,Force isométrique,Secondes
10/09/2025,Serie 5,Planche / pike lean,16,Half_Lay,Jaune,Normal,High,97.21,Force isométrique,Secondes
11/09/2025,Serie 1,Planche / pike lean,15,Half_Lay,Jaune,Normal,High,91.14,Force isométrique,Secondes
11/09/2025,Serie 2,Planche / pike lean,18,Half_Lay,Jaune,Normal,High,109.36,Force isométrique,Secondes
11/09/2025,Serie 3,Planche / pike lean,14,Half_Lay,Jaune,Normal,High,85.06,Force isométrique,Secondes
14/09/2025,Serie 1,Planche / pike lean,14,Half_Lay,Rouge/Violet,Normal,High,70.74,Force isométrique,Secondes
14/09/2025,Serie 2,Planche / pike lean,12,Half_Lay,Rouge/Violet,Normal,High,60.63,Force isométrique,Secondes
14/09/2025,Serie 3,Planche / pike lean,10,Half_Lay,Rouge/Violet,Normal,High,50.53,Force isométrique,Secondes
14/09/2025,Serie 4,Planche / pike lean,19,Half_Lay,Rouge/Violet,Normal,High,96.01,Force isométrique,Secondes
14/09/2025,Serie 5,Planche / pike lean,19,Half_Lay,Rouge/Violet,Normal,High,96.01,Force isométrique,Secondes
15/09/2025,Serie 1,Planche / pike lean,12,Half_Lay,Jaune,Normal,High,72.91,Force isométrique,Secondes
15/09/2025,Serie 2,Planche / pike lean,17,Half_Lay,Jaune,Normal,High,103.29,Force isométrique,Secondes
15/09/2025,Serie 3,Planche / pike lean,12,Half_Lay,Jaune,Normal,High,72.91,Force isométrique,Secondes
15/09/2025,Serie 4,Planche / pike lean,13,Half_Lay,Jaune,Normal,High,78.98,Force isométrique,Secondes
17/09/2025,Serie 1,Planche / pike lean,16,Half_Lay,Jaune,Normal,High,97.21,Force isométrique,Secondes
17/09/2025,Serie 2,Planche / pike lean,16,Half_Lay,Jaune,Normal,High,97.21,Force isométrique,Secondes
17/09/2025,Serie 3,Planche / pike lean,15,Half_Lay,Jaune,Normal,High,91.14,Force isométrique,Secondes
17/09/2025,Serie 4,Planche / pike lean,15,Half_Lay,Jaune,Normal,High,91.14,Force isométrique,Secondes
17/09/2025,Serie 5,Planche / pike lean,15,Half_Lay,Jaune,Normal,High,91.14,Force isométrique,Secondes
20/09/2025,Serie 1,Planche / pike lean,17,Half_Lay,Jaune,Normal,High,103.29,Force isométrique,Secondes
20/09/2025,Serie 2,Planche / pike lean,13,Half_Lay,Jaune,Normal,High,78.98,Force isométrique,Secondes
20/09/2025,Serie 3,Planche / pike lean,15,Half_Lay,Jaune,Normal,High,91.14,Force isométrique,Secondes
20/09/2025,Serie 4,Planche / pike lean,17,Half_Lay,Jaune,Normal,High,103.29,Force isométrique,Secondes
20/09/2025,Serie 5,Planche / pike lean,13,Half_Lay,Jaune,Normal,High,78.98,Force isométrique,Secondes
21/09/2025,Serie 1,Planche / pike lean,16,Half_Lay,Jaune,Ecarté,High,88.26,Force isométrique,Secondes
21/09/2025,Serie 2,Planche / pike lean,16,Half_Lay,Jaune,Normal,High,97.21,Force isométrique,Secondes
21/09/2025,Serie 3,Planche / pike lean,15,Half_Lay,Jaune,Normal,High,91.14,Force isométrique,Secondes
21/09/2025,Serie 4,Planche / pike lean,13,Half_Lay,Jaune,Normal,High,78.98,Force isométrique,Secondes
21/09/2025,Serie 5,Planche / pike lean,15,Half_Lay,Jaune,Serré,High,96.96,Force isométrique,Secondes
22/09/2025,Serie 1,Planche / pike lean,11,Half_Lay,Jaune,Ecarté,High,60.68,Force isométrique,Secondes
22/09/2025,Serie 2,Planche / pike lean,15,Half_Lay,Jaune,Ecarté,High,82.74,Force isométrique,Secondes
22/09/2025,Serie 3,Planche / pike lean,12,Half_Lay,Jaune,Ecarté,High,66.19,Force isométrique,Secondes
22/09/2025,Serie 4,Planche / pike lean,14,Half_Lay,Jaune,Ecarté,High,77.23,Force isométrique,Secondes
24/09/2025,Serie 1,Planche / pike lean,17,Half_Lay,Jaune,Ecarté,High,93.77,Force isométrique,Secondes
24/09/2025,Serie 2,Planche / pike lean,10,Half_Lay,Jaune,Ecarté,High,55.16,Force isométrique,Secondes
24/09/2025,Serie 3,Planche / pike lean,19,Half_Lay,Jaune,Ecarté,High,104.81,Force isométrique,Secondes
24/09/2025,Serie 4,Planche / pike lean,18,Half_Lay,Jaune,Ecarté,High,99.29,Force isométrique,Secondes
24/09/2025,Serie 5,Planche / pike lean,15,Half_Lay,Jaune,Ecarté,High,82.74,Force isométrique,Secondes
26/09/2025,Serie 1,Planche / pike lean,19,Half_Lay,Jaune,Ecarté,High,104.81,Force isométrique,Secondes
26/09/2025,Serie 2,Planche / pike lean,16,Half_Lay,Jaune,Ecarté,High,88.26,Force isométrique,Secondes
26/09/2025,Serie 3,Planche / pike lean,18,Full,Jaune,Ecarté,High,112.67,Force isométrique,Secondes
26/09/2025,Serie 4,Planche / pike lean,10,Full,Jaune,Ecarté,High,62.60,Force isométrique,Secondes
26/09/2025,Serie 5,Planche / pike lean,16,Full,Jaune,Ecarté,High,100.15,Force isométrique,Secondes
27/09/2025,Serie 1,Planche / pike lean,18,Half_Lay,Jaune,Ecarté,High,99.29,Force isométrique,Secondes
27/09/2025,Serie 2,Planche / pike lean,14,Straddle,Jaune,Ecarté,High,77.23,Force isométrique,Secondes
27/09/2025,Serie 3,Planche / pike lean,12,Straddle,Jaune,Ecarté,High,66.19,Force isométrique,Secondes
27/09/2025,Serie 4,Planche / pike lean,22,Half_Lay,Jaune,Ecarté,High,121.35,Force isométrique,Secondes
27/09/2025,Serie 5,Planche / pike lean,22,Half_Lay,Jaune,Ecarté,High,121.35,Force isométrique,Secondes
30/09/2025,Serie 1,Planche / pike lean,16,Straddle,Jaune,Ecarté,High,88.26,Force isométrique,Secondes
30/09/2025,Serie 2,Planche / pike lean,16,Straddle,Jaune,Ecarté,High,88.26,Force isométrique,Secondes
30/09/2025,Serie 3,Planche / pike lean,16,Half_Lay,Jaune,Ecarté,High,88.26,Force isométrique,Secondes
30/09/2025,Serie 4,Planche / pike lean,21,Half_Lay,Jaune,Ecarté,High,115.84,Force isométrique,Secondes
01/10/2025,Serie 1,Planche / pike lean,16,Half_Lay,Rouge/Violet,Serré,High,88.84,Force isométrique,Secondes
01/10/2025,Serie 2,Planche / pike lean,22,Half_Lay,Rouge/Violet,Serré,High,122.16,Force isométrique,Secondes
01/10/2025,Serie 3,Planche / pike lean,14,Half_Lay,Rouge/Violet,Serré,High,77.74,Force isométrique,Secondes
01/10/2025,Serie 4,Planche / pike lean,13,Half_Lay,Rouge/Violet,Serré,High,72.18,Force isométrique,Secondes
01/10/2025,Serie 5,Planche / pike lean,15,Half_Lay,Rouge/Violet,Serré,High,83.29,Force isométrique,Secondes
04/10/2025,Serie 1,Planche / pike lean,16,Full,Vert,Serré,High,85.52,Force isométrique,Secondes
04/10/2025,Serie 2,Planche / pike lean,19,Full,Vert,Serré,High,101.56,Force isométrique,Secondes
04/10/2025,Serie 3,Planche / pike lean,16,Full,Vert,Serré,High,85.52,Force isométrique,Secondes
04/10/2025,Serie 4,Planche / pike lean,15,Full,Vert,Serré,High,80.18,Force isométrique,Secondes
04/10/2025,Serie 5,Planche / pike lean,18,Full,Vert,Serré,High,96.22,Force isométrique,Secondes
05/10/2025,Serie 1,Planche / pike lean,15,Full,Vert,Serré,High,80.18,Force isométrique,Secondes
05/10/2025,Serie 1,Tuck planche raises,5,Full,Vert,Serré,High,26.73,Force isométrique,Secondes
05/10/2025,Serie 2,Planche / pike lean,14,Full,Vert,Serré,High,74.83,Force isométrique,Secondes
05/10/2025,Serie 3,Planche / pike lean,17,Full,Vert,Serré,High,90.87,Force isométrique,Secondes
05/10/2025,Serie 4,Planche / pike lean,17,Full,Vert,Serré,High,90.87,Force isométrique,Secondes
05/10/2025,Serie 5,Planche / pike lean,15,Full,Vert,Serré,High,80.18,Force isométrique,Secondes
07/10/2025,Serie 1,Planche / pike lean,16,Full,Vert,Serré,High,85.52,Force isométrique,Secondes
07/10/2025,Serie 2,Planche / pike lean,17,Full,Vert,Serré,High,90.87,Force isométrique,Secondes
07/10/2025,Serie 3,Planche / pike lean,19,Full,Vert,Serré,High,101.56,Force isométrique,Secondes
07/10/2025,Serie 4,Planche / pike lean,18,Full,Vert,Serré,High,96.22,Force isométrique,Secondes
07/10/2025,Serie 5,Planche / pike lean,13,Full,Vert,Serré,High,69.49,Force isométrique,Secondes
08/10/2025,Serie 1,Planche / pike lean,15,Full,Vert,Serré,High,80.18,Force isométrique,Secondes
08/10/2025,Serie 1,Tuck planche raises,5,Full,Vert,Serré,High,26.73,Force isométrique,Secondes
08/10/2025,Serie 2,Planche / pike lean,19,Full,Vert,Serré,High,101.56,Force isométrique,Secondes
08/10/2025,Serie 2,Tuck planche raises,5,Full,Vert,Serré,High,26.73,Force isométrique,Secondes
08/10/2025,Serie 3,Planche / pike lean,15,Full,Vert,Serré,High,80.18,Force isométrique,Secondes
08/10/2025,Serie 3,Tuck planche raises,5,Full,Vert,Serré,High,26.73,Force isométrique,Secondes
08/10/2025,Serie 4,Planche / pike lean,21,Full,Vert,Serré,High,112.25,Force isométrique,Secondes
08/10/2025,Serie 5,Planche / pike lean,21,Full,Vert,Serré,High,112.25,Force isométrique,Secondes
10/10/2025,Serie 1,Planche / pike lean,14,Full,Jaune,Ecarté,High,87.63,Force isométrique,Secondes
10/10/2025,Serie 1,Tuck planche raises,4,Full,Jaune,Ecarté,High,25.04,Force isométrique,Secondes
10/10/2025,Serie 2,Planche / pike lean,20,Full,Jaune,Ecarté,High,125.19,Force isométrique,Secondes
10/10/2025,Serie 2,Tuck planche raises,5,Full,Jaune,Ecarté,High,31.30,Force isométrique,Secondes
10/10/2025,Serie 3,Planche / pike lean,15,Full,Jaune,Ecarté,High,93.89,Force isométrique,Secondes
10/10/2025,Serie 4,Planche / pike lean,14,Full,Jaune,Ecarté,High,87.63,Force isométrique,Secondes
10/10/2025,Serie 5,Planche / pike lean,17,Full,Jaune,Ecarté,High,106.41,Force isométrique,Secondes
11/10/2025,Serie 1,Planche / pike lean,20,Full,Jaune,Ecarté,High,125.19,Force isométrique,Secondes
11/10/2025,Serie 1,Tuck planche raises,4,Full,Jaune,Ecarté,High,25.04,Force isométrique,Secondes
11/10/2025,Serie 2,Planche / pike lean,21,Full,Jaune,Ecarté,High,131.45,Force isométrique,Secondes
11/10/2025,Serie 2,Tuck planche raises,5,Full,Jaune,Ecarté,High,31.30,Force isométrique,Secondes
11/10/2025,Serie 3,Planche / pike lean,16,Full,Jaune,Ecarté,High,100.15,Force isométrique,Secondes
11/10/2025,Serie 4,Planche / pike lean,14,Full,Jaune,Ecarté,High,87.63,Force isométrique,Secondes
11/10/2025,Serie 5,Planche / pike lean,20,Full,Jaune,Ecarté,High,125.19,Force isométrique,Secondes
12/10/2025,Serie 1,Planche / pike lean,16,Full,Jaune,Ecarté,High,100.15,Force isométrique,Secondes
12/10/2025,Serie 2,Planche / pike lean,19,Full,Jaune,Ecarté,High,118.93,Force isométrique,Secondes
12/10/2025,Serie 3,Planche / pike lean,17,Full,Jaune,Ecarté,High,106.41,Force isométrique,Secondes
12/10/2025,Serie 4,Planche / pike lean,18,Full,Jaune,Ecarté,High,112.67,Force isométrique,Secondes
12/10/2025,Serie 5,Planche / pike lean,16,Full,Jaune,Ecarté,High,100.15,Force isométrique,Secondes
13/10/2025,Serie 1,Planche / pike lean,22,Full,Jaune,Ecarté,High,137.71,Force isométrique,Secondes
13/10/2025,Serie 2,Planche / pike lean,23,Full,Jaune,Ecarté,High,143.97,Force isométrique,Secondes
13/10/2025,Serie 3,Planche / pike lean,19,Full,Jaune,Ecarté,High,118.93,Force isométrique,Secondes
13/10/2025,Serie 4,Planche / pike lean,22,Full,Jaune,Ecarté,High,137.71,Force isométrique,Secondes
13/10/2025,Serie 5,Planche / pike lean,21,Full,Jaune,Ecarté,High,131.45,Force isométrique,Secondes
15/10/2025,Serie 1,Planche / pike lean,15,Half_Lay,Bleu,Ecarté,High,102.35,Force isométrique,Secondes
15/10/2025,Serie 2,Planche / pike lean,12,Half_Lay,Bleu,Ecarté,High,81.88,Force isométrique,Secondes
15/10/2025,Serie 3,Planche / pike lean,12,Half_Lay,Bleu,Ecarté,High,81.88,Force isométrique,Secondes
15/10/2025,Serie 4,Planche / pike lean,17,Half_Lay,Bleu,Ecarté,High,116.00,Force isométrique,Secondes
15/10/2025,Serie 5,Planche / pike lean,10,Half_Lay,Bleu,Ecarté,High,68.23,Force isométrique,Secondes
17/10/2025,Serie 1,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
17/10/2025,Serie 1,Tuck planche raises,6,Half_Lay,Bleu,Ecarté,High,40.94,Force isométrique,Secondes
17/10/2025,Serie 2,Planche / pike lean,19,Half_Lay,Bleu,Ecarté,High,129.65,Force isométrique,Secondes
17/10/2025,Serie 3,Planche / pike lean,19,Half_Lay,Bleu,Ecarté,High,129.65,Force isométrique,Secondes
17/10/2025,Serie 4,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
17/10/2025,Serie 5,Planche / pike lean,18,Half_Lay,Bleu,Ecarté,High,122.82,Force isométrique,Secondes
18/10/2025,Serie 1,Planche / pike lean,22,Half_Lay,Bleu,Ecarté,High,150.12,Force isométrique,Secondes
18/10/2025,Serie 2,Planche / pike lean,19,Half_Lay,Bleu,Ecarté,High,129.65,Force isométrique,Secondes
